Król Karol kupił królowej Karolinie korale koloru koralowego ; ; skoregorkowa_001.mp3
Stół z powyłamywanymi nogami ; ; skoregorkowa_002.mp3
W Szczebrzeszynie chrząszcz brzmi w trzcinie i Szczebrzeszyn z tego słynie. Wół go pyta „Panie chrząszczu, Po co pan tak brzęczy w gąszczu?” ; ; skoregorkowa_003.mp3
Wyindywidualizowaliśmy się z rozentuzjazmowanego tłumu ; ; skoregorkowa_004.mp3
Spod czeskich strzech szło Czechów trzech ; ; skoregorkowa_005.mp3
Szedł Sasza suchą szosą i suszył sobie spodnie ; ; skoregorkowa_006.mp3
Pchła pchłę pchła i ta pchła była zła, że ta pchła ją pchła ; ; skoregorkowa_007.mp3
Idzie Sasza suchą szosą, suszy sobie swoje szorty ; ; skoregorkowa_008.mp3
Leży Jerzy na wieży i nie wierzy, że w tej wieży jest sto jeży i pięćdziesiąt jeżozwierzy ; ; skoregorkowa_009.mp3
Czy trzy cytrzystki grają na cytrze, czy druga gwiżdże, a trzecia łzy trze? ; ; skoregorkowa_010.mp3
Wyindywidualizowany z rozentuzjazmowanego tłumu Szwed żałował, że pochodzi ze Szwecji, a nie ze Swarzędza ; ; skoregorkowa_011.mp3
